"Representative Lamborn, Doug",House: 2007-Present
"Representative Lance, Leonard",House: 2009-Present
"Representative Langevin, James R.",House: 2001-Present
"Representative Larsen, Rick",House: 2001-Present
"Representative Larson, John B.",House: 1999-Present
"Representative Latta, Robert E.",House: 2007-Present
"Representative Lawrence, Brenda L.",House: 2015-Present
"Representative Lee, Barbara",House: 1997-Present
"Representative Levin, Sander M.",House: 1983-Present
"Representative Lewis, John",House: 1987-Present
"Representative Lieu, Ted",House: 2015-Present
"Representative Lipinski, Daniel",House: 2005-Present
"Representative LoBiondo, Frank A.",House: 1995-Present
"Representative Loebsack, David",House: 2007-Present
"Representative Lofgren, Zoe",House: 1995-Present
"Representative Long, Billy",House: 2011-Present
"Representative Loudermilk, Barry",House: 2015-Present
"Representative Love, Mia B.",House: 2015-Present
"Representative Lowenthal, Alan S.",House: 2013-Present
"Representative Lowey, Nita M.",House: 1989-Present
"Representative Lucas, Frank D.",House: 1993-Present
"Representative Luetkemeyer, Blaine",House: 2009-Present
"Representative Lujan Grisham, Michelle",House: 2013-Present
"Representative Lujan, Ben Ray",House: 2009-Present
"Representative Lynch, Stephen F.",House: 2001-Present
"Representative MacArthur, Thomas",House: 2015-Present
"Representative Maloney, Carolyn B.",House: 1993-Present
"Representative Maloney, Sean Patrick",House: 2013-Present
"Representative Marchant, Kenny",House: 2005-Present
"Representative Marino, Tom",House: 2011-Present
"Representative Massie, Thomas",House: 2012-Present
"Representative Matsui, Doris O.",House: 2005-Present
"Representative McCarthy, Kevin",House: 2007-Present
"Representative McCaul, Michael T.",House: 2005-Present
"Representative McClintock, Tom",House: 2009-Present
"Representative McCollum, Betty",House: 2001-Present
"Representative McGovern, James P.",House: 1997-Present
"Representative McHenry, Patrick T.",House: 2005-Present
"Representative McKinley, David B.",House: 2011-Present
"Representative McMorris Rodgers, Cathy",House: 2005-Present
"Representative McNerney, Jerry",House: 2007-Present
"Representative McSally, Martha",House: 2015-Present
"Representative Meadows, Mark",House: 2013-Present
"Representative Meehan, Patrick",House: 2011-Present
"Representative Meeks, Gregory W.",House: 1997-Present
"Representative Meng, Grace",House: 2013-Present
"Representative Messer, Luke",House: 2013-Present
"Representative Moolenaar, John R.",House: 2015-Present
"Representative Mooney, Alexander X.",House: 2015-Present
"Representative Moore, Gwen",House: 2005-Present
"Representative Moulton, Seth",House: 2015-Present
"Representative Mullin, Markwayne",House: 2013-Present
"Representative Mulvaney, Mick",House: 2011-2017
"Representative Murphy, Stephanie N.",House: 2017-Present
"Representative Murphy, Tim",House: 2003-2017
"Representative Nadler, Jerrold",House: 1991-Present
"Representative Napolitano, Grace F.",House: 1999-Present
"Representative Neal, Richard E.",House: 1989-Present
"Representative Newhouse, Dan",House: 2015-Present
"Representative Nolan, Richard M.","House: 1975-1981, 2013-Present"
"Representative Norcross, Donald",House: 2014-Present
"Representative Nunes, Devin",House: 2003-Present
"Representative O'Rourke, Beto",House: 2013-Present
"Representative Olson, Pete",House: 2009-Present
"Representative Palazzo, Steven M.",House: 2011-Present
"Representative Pallone, Frank, Jr.",House: 1987-Present
"Representative Palmer, Gary J.",House: 2015-Present
"Representative Pascrell, Bill, Jr.",House: 1997-Present
"Representative Paulsen, Erik",House: 2009-Present
"Representative Payne, Donald M., Jr.",House: 2012-Present
"Representative Pearce, Stevan","House: 2003-2009, 2011-Present"
"Representative Pelosi, Nancy",House: 1987-Present
"Representative Perlmutter, Ed",House: 2007-Present
"Representative Perry, Scott",House: 2013-Present
"Representative Peters, Scott H.",House: 2013-Present
"Representative Peterson, Collin C.",House: 1991-Present
"Representative Pingree, Chellie",House: 2009-Present
"Representative Pittenger, Robert",House: 2013-Present
"Representative Pocan, Mark",House: 2013-Present
"Representative Poe, Ted",House: 2005-Present
"Representative Poliquin, Bruce",House: 2015-Present
"Representative Polis, Jared",House: 2009-Present
"Representative Pompeo, Mike",House: 2011-2017
"Representative Posey, Bill",House: 2009-Present
"Representative Price, David E.","House: 1987-1995, 1997-Present"
"Representative Price, Tom",House: 2005-2017
"Representative Quigley, Mike",House: 2009-Present
"Representative Ratcliffe, John",House: 2015-Present
"Representative Reed, Tom",House: 2010-Present
"Representative Reichert, David G.",House: 2005-Present
"Representative Renacci, James B.",House: 2011-Present
"Representative Rice, Kathleen M.",House: 2015-Present
"Representative Rice, Tom",House: 2013-Present
"Representative Richmond, Cedric L.",House: 2011-Present
"Representative Roby, Martha",House: 2011-Present
"Representative Roe, David P.",House: 2009-Present
"Representative Rogers, Harold",House: 1981-Present
"Representative Rogers, Mike D.",House: 2003-Present
"Representative Rohrabacher, Dana",House: 1989-Present
"Representative Rokita, Todd",House: 2011-Present
"Representative Rooney, Thomas J.",House: 2009-Present
"Representative Ros-Lehtinen, Ileana",House: 1989-Present
"Representative Roskam, Peter J.",House: 2007-Present
"Representative Ross, Dennis A.",House: 2011-Present
"Representative Rothfus, Keith J.",House: 2013-Present
"Representative Rouzer, David",House: 2015-Present
"Representative Roybal-Allard, Lucille",House: 1993-Present
"Representative Royce, Edward R.",House: 1993-Present
"Representative Ruiz, Raul",House: 2013-Present
"Representative Ruppersberger, C. A. Dutch",House: 2003-Present
"Representative Rush, Bobby L.",House: 1993-Present
"Representative Russell, Steve",House: 2015-Present
"Representative Ryan, Paul D.",House: 1999-Present
"Representative Ryan, Tim",House: 2003-Present
"Representative Sanchez, Linda T.",House: 2003-Present
"Representative Sanford, Mark","House: 1995-2001, 2013-Present"
"Representative Sarbanes, John P.",House: 2007-Present
"Representative Scalise, Steve",House: 2008-Present
"Representative Schakowsky, Janice D.",House: 1999-Present
"Representative Schiff, Adam B.",House: 2001-Present
"Representative Schneider, Bradley Scott","House: 2013-2015, 2017-Present"
"Representative Schrader, Kurt",House: 2009-Present
"Representative Schweikert, David",House: 2011-Present
"Representative Scott, Austin",House: 2011-Present
"Representative Scott, David",House: 2003-Present
"Representative Scott, Robert C. ""Bobby""",House: 1993-Present
"Representative Sensenbrenner, F. James, Jr.",House: 1979-Present
"Representative Serrano, Jose E.",House: 1989-Present
"Representative Sessions, Pete",House: 1997-Present
"Representative Sewell, Terri A.",House: 2011-Present
"Representative Shea-Porter, Carol","House: 2007-2011, 2013-2015, 2017-Present"
"Representative Sherman, Brad",House: 1997-Present
"Representative Shimkus, John",House: 1997-Present
"Representative Shuster, Bill",House: 2001-Present
"Representative Simpson, Michael K.",House: 1999-Present
"Representative Sinema, Kyrsten",House: 2013-Present
"Representative Sires, Albio",House: 2005-Present
"Representative Slaughter, Louise McIntosh",House: 1987-Present
"Representative Smith, Adam",House: 1997-Present
"Representative Smith, Adrian",House: 2007-Present
"Representative Smith, Christopher H.",House: 1981-Present
"Representative Smith, Jason",House: 2013-Present
"Representative Smith, Lamar",House: 1987-Present
"Representative Speier, Jackie",House: 2008-Present
"Representative Stefanik, Elise M.",House: 2015-Present
"Representative Stewart, Chris",House: 2013-Present
"Representative Stivers, Steve",House: 2011-Present
"Representative Swalwell, Eric",House: 2013-Present
"Representative Takano, Mark",House: 2013-Present
"Representative Thompson, Bennie G.",House: 1993-Present
"Representative Thompson, Glenn",House: 2009-Present
"Representative Thompson, Mike",House: 1999-Present
"Representative Thornberry, Mac",House: 1995-Present
"Representative Tiberi, Patrick J.",House: 2001-2018
"Representative Tipton, Scott R.",House: 2011-Present
"Representative Titus, Dina","House: 2009-2011, 2013-Present"
"Representative Tonko, Paul",House: 2009-Present
"Representative Torres, Norma J.",House: 2015-Present
"Representative Trott, David A.",House: 2015-Present
"Representative Tsongas, Niki",House: 2007-Present
"Representative Turner, Michael R.",House: 2003-Present
"Representative Upton, Fred",House: 1987-Present
"Representative Valadao, David G.",House: 2013-Present
"Representative Vargas, Juan",House: 2013-Present
"Representative Veasey, Marc A.",House: 2013-Present
"Representative Vela, Filemon",House: 2013-Present
"Representative Velazquez, Nydia M.",House: 1993-Present
"Representative Visclosky, Peter J.",House: 1985-Present
"Representative Wagner, Ann",House: 2013-Present
"Representative Walberg, Tim","House: 2007-2009, 2011-Present"
"Representative Walden, Greg",House: 1999-Present
"Representative Walker, Mark",House: 2015-Present
"Representative Walorski, Jackie",House: 2013-Present
"Representative Walters, Mimi",House: 2015-Present
"Representative Walz, Timothy J.",House: 2007-Present
"Representative Wasserman Schultz, Debbie",House: 2005-Present
"Representative Waters, Maxine",House: 1991-Present
"Representative Watson Coleman, Bonnie",House: 2015-Present
"Representative Weber, Randy K., Sr.",House: 2013-Present
"Representative Webster, Daniel",House: 2011-Present
"Representative Wenstrup, Brad R.",House: 2013-Present
"Representative Westerman, Bruce",House: 2015-Present
"Representative Williams, Roger",House: 2013-Present
"Representative Wilson, Frederica S.",House: 2011-Present
"Representative Wilson, Joe",House: 2001-Present
"Representative Wittman, Robert J.",House: 2007-Present
"Representative Womack, Steve",House: 2011-Present
"Representative Woodall, Rob",House: 2011-Present
"Representative Yarmuth, John A.",House: 2007-Present
"Representative Yoder, Kevin",House: 2011-Present
"Representative Yoho, Ted S.",House: 2013-Present
"Representative Young, David",House: 2015-Present
"Representative Zeldin, Lee M.",House: 2015-Present
